month,close,open,high,low,volume
2019-07,446.6545454545454,446.6818181818182,453.2,434.0,129860.0
2019-08,449.5952380952381,449.2285714285714,456.0,440.0,213170.0
2019-09,447.31499999999994,446.88,455.8,437.2,255980.0
2019-10,456.34090909090907,456.4318181818182,469.5,445.1,306330.0
2019-11,458.015,458.225,467.9,446.4,86890.0
2019-12,461.37,460.86,470.9,452.0,250040.0
2020-01,470.69090909090914,472.05909090909086,483.1,450.1,134860.0
2020-02,456.9263157894737,457.0736842105263,464.9,446.0,211950.0
2020-03,461.48636363636365,460.50909090909096,472.8,444.3,120870.0
2020-04,459.9238095238095,459.9095238095238,471.7,448.4,136460.0
2020-05,466.26000000000005,466.70500000000004,474.0,459.0,79170.0
2020-06,468.72272727272724,468.57272727272726,480.1,456.1,203150.0
2020-07,478.48636363636365,477.77727272727276,494.0,458.9,176670.0
2020-08,489.38,488.65500000000003,503.2,481.1,244360.0
2020-09,516.0142857142857,514.7047619047619,534.2,493.4,325040.0
2020-10,531.3761904761905,530.0619047619048,551.9,510.1,237560.0
2020-11,562.205,561.37,587.0,530.0,107040.0
2020-12,607.3190476190476,604.9857142857143,647.3,571.1,218510.0
2021-01,670.1899999999999,670.3,724.5,628.2,133940.0
2021-02,740.8684210526316,735.8315789473684,852.1,688.0,91400.0
2021-03,794.0695652173912,795.3521739130434,833.4,715.6,91390.0
2021-04,840.4380952380952,832.4380952380952,919.9,734.0,82480.0
2021-05,931.68,930.97,1045.3,858.0,30030.0
2021-06,831.8272727272728,834.5636363636364,919.7,729.3,37990.0
2021-07,891.604761904762,894.5428571428572,976.6,831.2,129220.0
2021-08,891.9047619047619,888.5999999999999,940.0,823.3,211070.0
2021-09,876.7333333333333,876.0857142857143,909.2,849.0,253950.0
2021-10,938.1600000000001,931.49,1037.0,888.8,156760.0
2021-11,1020.4333333333333,1022.7047619047619,1065.8,975.5,141420.0
2021-12,1019.804761904762,1017.9761904761905,1100.7,980.5,115210.0
2022-01,1016.6899999999999,1014.76,1055.0,958.7,116760.0
2022-02,1022.2263157894737,1022.7105263157895,1103.1,998.9,95900.0
2022-03,1123.8521739130433,1124.8130434782609,1177.8,1082.7,97850.0
2022-04,1170.8700000000001,1165.295,1220.9,1120.4,97290.0
2022-05,1168.6666666666667,1167.1809523809522,1226.0,1126.0,63270.0
